Time	a	ax	ay	az
t in s	a/m/s²	ax/m/s²	ay/m/s²	az/m/s²
0.000	9.690	-1.260	2.060	-9.390
0.025	9.690	-1.260	2.060	-9.390
0.050	9.690	-1.260	2.060	-9.390
0.075	9.540	-1.190	1.970	-9.260
0.100	9.540	-1.190	1.970	-9.260
0.125	9.740	-1.030	1.930	-9.490
0.150	9.740	-1.030	1.930	-9.490
0.175	9.800	-1.360	2.520	-9.380
0.200	10.120	-1.550	2.800	-9.600
0.225	9.980	-1.360	2.830	-9.470
0.250	9.980	-1.400	2.800	-9.480
0.275	9.980	-1.400	2.800	-9.480
0.300	9.830	-1.080	2.240	-9.510
0.325	9.660	-1.200	1.940	-9.390
0.350	9.440	-1.080	1.300	-9.290
0.375	9.500	-1.150	0.900	-9.390
0.400	9.500	-1.150	0.900	-9.390
0.425	9.070	-1.140	0.130	-8.990
0.450	9.670	-1.270	0.230	-9.590
0.475	9.560	-1.510	-0.150	-9.440
0.500	9.560	-1.510	-0.150	-9.440
0.525	9.560	-1.510	-0.150	-9.440
0.550	7.970	-2.930	0.350	-7.410
0.575	8.900	-0.910	0.810	-8.810
0.600	9.500	-2.330	1.560	-9.070
0.625	9.500	-2.330	1.560	-9.070
0.650	9.500	-2.330	1.560	-9.070
0.675	8.600	-3.220	-0.310	-7.970
0.700	7.640	-2.000	0.770	-7.340
0.725	8.600	-1.840	1.420	-8.280
0.750	8.600	-1.840	1.420	-8.280
0.775	8.600	-1.840	1.420	-8.280
0.800	20.040	14.420	10.960	-8.580
0.825	10.260	-1.770	2.390	-9.820
0.850	7.810	-2.910	1.330	-7.130
0.875	7.810	-2.910	1.330	-7.130
0.900	7.810	-2.910	1.330	-7.130
0.925	6.190	-3.410	-0.590	-5.140
0.950	8.050	2.840	2.720	-7.020
0.975	6.270	0.110	1.190	-6.160
1.000	6.270	0.110	1.190	-6.160
1.025	6.270	0.110	1.190	-6.160
1.050	11.330	0.800	2.510	-11.020
1.075	7.230	-0.960	2.710	-6.630
1.100	11.080	-0.110	1.990	-10.900
1.125	11.080	-0.110	1.990	-10.900
1.150	11.080	-0.110	1.990	-10.900
1.175	8.810	1.370	2.190	-8.420
1.200	10.050	2.900	2.470	-9.300
1.225	10.190	4.040	1.860	-9.170
1.250	10.190	4.040	1.860	-9.170
1.275	10.190	4.040	1.860	-9.170
1.300	5.390	-2.450	-1.070	-4.680
1.325	3.790	-0.880	1.290	-3.450
1.350	11.120	4.050	3.850	-9.610
1.375	11.120	4.050	3.850	-9.610
1.400	11.120	8.180	4.860	-5.750
1.425	10.160	-0.300	2.900	-9.730
1.450	8.030	0.650	2.080	-7.730
1.475	8.030	0.650	2.080	-7.730
1.500	8.030	0.650	2.080	-7.730
1.525	4.750	2.070	1.460	-4.010
1.550	10.030	4.520	1.260	-8.860
1.575	14.710	-3.720	10.950	-9.090
1.600	14.710	-3.720	10.950	-9.090
1.625	14.710	-3.720	10.950	-9.090
1.650	8.160	-3.680	-0.890	-7.230
1.675	8.260	4.090	2.290	-6.800
1.700	6.140	4.090	4.570	0.310
1.725	6.140	4.090	4.570	0.310
1.750	6.140	4.090	4.570	0.310
1.775	14.230	11.670	5.640	-5.870
1.800	12.880	0.050	5.080	-11.840
1.825	8.700	-3.630	1.530	-7.750
1.850	8.700	-3.630	1.530	-7.750
1.875	8.700	-3.630	1.530	-7.750
1.900	1.830	1.720	-0.380	0.510
1.925	10.450	-2.060	0.540	-10.230
1.950	7.730	-2.370	1.430	-7.220
1.975	7.730	-2.370	1.430	-7.220
2.000	7.730	-2.370	1.430	-7.220
2.025	13.200	5.860	7.910	-8.800
2.050	4.310	-1.500	1.880	-3.580
2.075	7.860	-3.260	2.300	-6.770
2.100	7.860	-3.260	2.300	-6.770
2.125	7.860	-3.260	2.300	-6.770
2.150	22.160	3.180	9.290	-19.870
2.175	14.510	-3.910	2.750	-13.700
2.200	16.740	10.400	8.890	-9.640
2.225	16.740	10.400	8.890	-9.640
2.250	16.740	10.400	8.890	-9.640
2.275	16.180	4.730	7.460	-13.560
2.300	2.800	-2.210	-0.370	-1.670
2.325	4.920	-0.840	-3.150	-3.690
2.350	4.920	-0.840	-3.150	-3.690
2.375	4.920	-0.840	-3.150	-3.690
2.400	3.840	0.350	0.910	-3.720
2.425	10.270	-2.060	0.630	-10.040
2.450	10.380	1.570	1.860	-10.090
2.475	10.380	1.570	1.860	-10.090
2.500	10.380	1.570	1.860	-10.090
2.525	10.380	1.570	1.860	-10.090
2.550	8.910	-1.760	0.750	-8.700
2.575	23.300	-6.890	3.710	-21.950
2.600	23.300	-6.890	3.710	-21.950
2.625	23.300	-6.890	3.710	-21.950
2.650	4.370	-3.120	-0.110	-3.060
2.675	12.720	-4.250	2.780	-11.660
2.700	13.650	-4.310	1.400	-12.870
2.725	13.650	-4.310	1.400	-12.870
2.750	13.650	-4.310	1.400	-12.870
2.775	11.850	0.610	7.300	-9.320
2.800	10.120	-4.550	1.150	-8.960
2.825	9.460	-2.600	2.020	-8.870
2.850	9.460	-2.600	2.020	-8.870
2.875	9.460	-2.600	2.020	-8.870
2.900	9.790	-2.860	0.390	-9.350
2.925	8.430	-2.570	0.140	-8.030
2.950	6.940	-2.170	0.340	-6.580
2.975	6.940	-2.170	0.340	-6.580
3.000	9.570	-1.370	3.510	-8.800
3.025	12.720	1.760	6.620	-10.720
3.050	2.690	-2.000	1.060	-1.450
3.075	27.040	-8.370	6.090	-24.980
3.100	27.040	-8.370	6.090	-24.980
3.125	27.040	-8.370	6.090	-24.980
3.150	4.130	2.330	1.050	-3.240
3.175	12.000	-2.890	1.960	-11.480
3.200	2.500	-0.410	1.290	-2.100
3.225	2.500	-0.410	1.290	-2.100
3.250	2.500	-0.410	1.290	-2.100
3.275	9.450	-0.790	0.360	-9.410
3.300	9.260	-3.420	0.100	-8.610
3.325	10.340	-3.300	-0.170	-9.800
3.350	10.340	-3.300	-0.170	-9.800
3.375	10.340	-3.300	-0.170	-9.800
3.400	10.500	4.470	3.510	-8.830
3.425	12.060	-1.200	0.050	-12.000
3.450	6.940	3.830	3.440	-4.650
3.475	6.940	3.830	3.440	-4.650
3.500	6.940	3.830	3.440	-4.650
3.525	6.940	3.830	3.440	-4.650
3.550	32.420	2.810	12.660	-29.710
3.575	2.450	0.280	2.350	-0.620
3.600	2.450	0.280	2.350	-0.620
3.625	2.450	0.280	2.350	-0.620
3.650	5.480	-4.530	2.010	-2.340
3.675	16.570	7.150	10.240	10.890
3.700	11.280	0.390	3.650	10.660
3.725	11.280	0.390	3.650	10.660
3.750	11.280	0.390	3.650	10.660
3.775	11.280	0.390	3.650	10.660
3.800	2.560	-2.450	0.600	0.440
3.825	2.560	-2.450	0.600	0.440
3.850	6.010	-3.510	1.340	-4.690
3.875	1.790	-1.770	0.060	-0.260
3.900	23.190	-3.880	8.000	-21.420
3.925	3.110	-2.600	1.470	0.890
3.950	3.110	-2.600	1.470	0.890
3.975	3.110	-2.600	1.470	0.890
4.000	0.630	-0.610	0.090	0.130
4.025	5.190	-2.070	2.770	-3.870
4.050	19.320	-4.420	5.790	-17.890
4.075	19.320	-4.420	5.790	-17.890
4.100	19.320	-4.420	5.790	-17.890
4.125	0.320	-0.230	0.170	-0.140
4.150	0.940	0.710	0.490	0.380
4.175	14.610	-1.130	4.970	-13.690
4.200	14.610	-1.130	4.970	-13.690
4.225	14.610	-1.130	4.970	-13.690
4.250	57.460	32.040	20.290	-43.170
4.275	15.070	0.910	4.440	-14.370
4.300	15.070	0.910	4.440	-14.370
4.325	15.070	0.910	4.440	-14.370
4.350	18.630	-3.860	6.510	-17.030
4.375	2.290	2.260	0.260	-0.220
4.400	1.160	0.630	-0.100	0.960
4.425	1.160	0.630	-0.100	0.960
4.450	0.390	0.000	-0.080	0.380
4.475	7.530	-5.000	-1.470	-5.430
4.500	53.630	15.420	18.220	-48.030
4.525	63.840	18.340	18.040	-58.430
4.550	63.840	18.340	18.040	-58.430
4.575	63.840	18.340	18.040	-58.430
4.600	63.840	18.340	18.040	-58.430
4.625	64.090	-1.140	5.900	-63.800
4.650	81.310	-4.460	68.800	-43.110
4.675	81.310	-4.460	68.800	-43.110
4.700	50.060	40.050	25.450	15.960
4.725	16.120	-0.330	10.520	-12.210
4.750	35.920	-3.500	8.400	-34.750
4.775	11.460	7.360	6.970	-5.350
4.800	11.460	7.360	6.970	-5.350
4.825	11.460	7.360	6.970	-5.350
4.850	1.670	0.580	1.190	1.020
4.875	1.720	0.580	1.380	0.850
4.900	1.400	0.330	1.200	0.650
4.925	1.400	0.330	1.200	0.650
4.950	1.400	0.330	1.200	0.650
4.975	1.840	-1.270	0.890	0.990
5.000	5.340	4.110	2.590	2.220
5.025	16.760	9.280	6.710	-12.240
5.050	16.760	9.280	6.710	-12.240
5.075	16.760	9.280	6.710	-12.240
5.100	47.880	27.770	30.420	-24.420
5.125	24.260	-21.340	4.180	-10.750
5.150	1.720	0.610	0.600	-1.490
5.175	1.720	0.610	0.600	-1.490
5.200	1.720	0.610	0.600	-1.490
5.225	77.520	-8.240	38.230	-66.930
5.250	4.780	-4.230	1.970	1.070
5.275	70.030	-6.280	17.290	-67.570
5.300	70.030	-6.280	17.290	-67.570
5.325	70.030	-6.280	17.290	-67.570
5.350	17.680	-0.910	3.040	-17.390
5.375	10.120	-0.680	-0.360	-10.090
5.400	3.160	-1.560	-0.600	-2.690
5.425	3.160	-1.560	-0.600	-2.690
5.450	3.160	-1.560	-0.600	-2.690
5.475	21.450	-6.560	6.420	-19.380
5.500	1.990	-1.020	-0.480	-1.650
5.525	2.320	0.920	0.240	2.110
5.550	7.410	1.270	2.930	-6.690
5.575	14.000	-7.090	11.550	3.510
5.600	31.390	11.620	25.870	-13.450
5.625	33.140	15.570	28.760	5.400
5.650	33.140	15.570	28.760	5.400
5.675	33.140	15.570	28.760	5.400
5.700	17.200	3.850	4.120	-16.240
5.725	11.080	8.010	-4.420	-6.240
5.750	10.950	6.310	-6.700	-5.920
5.775	12.780	2.010	-2.520	-12.370
5.800	13.870	0.360	0.110	-13.870
5.825	9.440	-0.060	-2.350	-9.140
5.850	11.700	1.130	-1.710	-11.520
5.875	13.740	1.300	-0.960	-13.650
