Time	a	ax	ay	az
t in s	a/m/s²	ax/m/s²	ay/m/s²	az/m/s²
0.000	9.940	0.040	-7.180	-6.870
0.025	9.940	0.040	-7.180	-6.870
0.050	9.940	0.040	-7.180	-6.870
0.075	9.940	0.040	-7.180	-6.870
0.100	9.940	0.040	-7.180	-6.870
0.125	10.030	0.230	-7.390	-6.770
0.150	10.000	0.260	-7.530	-6.560
0.175	10.000	0.260	-7.530	-6.560
0.200	9.630	0.270	-6.990	-6.620
0.225	9.780	0.260	-7.130	-6.700
0.250	10.110	0.200	-7.550	-6.730
0.275	10.100	0.180	-7.460	-6.810
0.300	9.860	0.220	-7.200	-6.730
0.325	9.920	0.200	-7.330	-6.680
0.350	9.970	0.250	-7.370	-6.700
0.375	9.650	-0.100	-6.520	-7.100
0.400	8.820	0.190	-5.270	-7.060
0.425	8.820	0.190	-5.270	-7.060
0.450	6.820	0.430	-0.640	-6.780
0.475	6.140	0.520	-1.900	-5.810
0.500	5.550	-0.460	-1.180	-5.400
0.525	18.380	5.450	1.240	-17.510
0.550	5.820	-1.430	-1.160	-5.520
0.575	5.250	0.850	-2.340	-4.620
0.600	6.920	-0.110	-1.370	-6.780
0.625	4.630	-1.960	-1.850	-3.770
0.650	6.320	3.670	-2.340	-4.590
0.675	4.620	1.600	-2.770	-3.340
0.700	4.620	1.600	-2.770	-3.340
0.725	4.620	1.600	-2.770	-3.340
0.750	7.100	-0.030	-1.790	-6.870
0.775	15.840	-7.180	-3.540	-13.680
0.800	12.040	-2.670	-3.140	-11.310
0.825	16.350	-2.170	-4.140	-15.670
0.850	10.140	1.230	0.050	-10.070
0.875	11.200	0.130	-1.330	-11.120
0.900	11.200	0.130	-1.330	-11.120
0.925	5.190	-2.770	-0.890	-4.300
0.950	14.720	0.590	-8.140	-12.250
0.975	24.360	16.680	-16.480	-6.640
1.000	7.800	4.580	-6.050	-1.820
1.025	7.800	4.580	-6.050	-1.820
1.050	5.850	5.700	-0.580	-1.210
1.075	20.800	-19.870	-5.050	-3.490
1.100	16.260	-14.240	-5.040	-6.020
1.125	8.300	-7.950	-1.620	-1.780
1.150	8.300	-7.950	-1.620	-1.780
1.175	2.060	-0.710	0.900	-1.710
1.200	9.960	9.710	2.210	0.200
1.225	21.890	3.120	-10.350	-19.040
1.250	25.790	25.620	-2.420	-1.640
1.275	25.790	25.620	-2.420	-1.640
1.300	1.750	1.330	-0.490	-1.030
1.325	40.230	23.930	-5.980	-31.780
1.350	17.840	-5.650	1.100	-16.880
1.375	5.650	-2.790	-0.750	-4.850
1.400	5.650	-2.790	-0.750	-4.850
1.425	5.650	-2.790	-0.750	-4.850
1.450	6.580	-0.800	-3.770	-5.330
1.475	30.840	-7.760	-3.900	-29.600
1.500	9.630	2.620	-0.880	-9.230
1.525	9.630	2.620	-0.880	-9.230
1.550	9.630	2.620	-0.880	-9.230
1.575	8.400	-0.520	-6.340	-5.490
1.600	1.390	-1.200	-0.430	-0.550
1.625	15.970	8.360	-11.630	-7.050
1.650	15.970	8.360	-11.630	-7.050
1.675	15.970	8.360	-11.630	-7.050
1.700	15.970	8.360	-11.630	-7.050
1.725	24.650	15.500	-3.330	-18.870
1.750	32.420	-24.090	-12.880	-17.460
1.775	32.420	-24.090	-12.880	-17.460
1.800	32.420	-24.090	-12.880	-17.460
1.825	21.360	1.040	-5.410	-20.640
1.850	1.610	-1.000	0.680	-1.070
1.875	1.390	-0.960	0.860	-0.530
1.900	1.390	-0.960	0.860	-0.530
1.925	1.390	-0.960	0.860	-0.530
1.950	78.710	74.200	-26.270	0.390
1.975	18.620	3.250	17.450	5.630
2.000	103.930	59.440	64.030	-56.290
2.025	103.930	59.440	64.030	-56.290
2.050	103.930	59.440	64.030	-56.290
2.075	63.170	54.810	-30.490	-7.530
2.100	4.540	-1.580	4.090	1.170
2.125	4.490	-0.480	4.300	1.170
2.150	4.490	-0.480	4.300	1.170
2.175	4.490	-0.480	4.300	1.170
2.200	1.370	0.160	1.360	0.140
2.225	1.450	0.010	1.400	0.400
2.250	1.440	-0.080	1.390	0.370
2.275	1.440	-0.080	1.390	0.370
2.300	1.440	-0.080	1.390	0.370
2.325	1.680	1.660	0.290	0.010
2.350	25.040	6.690	15.690	18.330
2.375	8.360	3.280	4.050	6.540
2.400	8.360	3.280	4.050	6.540
2.425	8.360	3.280	4.050	6.540
2.450	24.770	-16.700	-17.950	-3.540
2.475	34.960	-20.840	-16.190	22.930
2.500	8.520	-2.770	-2.920	7.510
2.525	8.520	-2.770	-2.920	7.510
2.550	8.520	-2.770	-2.920	7.510
2.575	1.830	1.300	0.940	-0.890
2.600	28.950	0.140	11.060	-26.750
2.625	27.650	-1.210	10.090	-25.720
2.650	27.650	-1.210	10.090	-25.720
2.675	27.650	-1.210	10.090	-25.720
2.700	10.220	6.970	-7.350	-1.320
2.725	12.480	3.140	-10.250	-6.380
2.750	5.830	-0.720	-5.750	0.640
2.775	5.830	-0.720	-5.750	0.640
2.800	5.830	-0.720	-5.750	0.640
2.825	3.640	-3.160	-0.450	-1.750
2.850	46.530	-35.210	1.430	-30.380
2.875	2.560	-1.770	-1.380	-1.240
2.900	2.560	-1.770	-1.380	-1.240
2.925	2.560	-1.770	-1.380	-1.240
2.950	10.170	-3.470	-1.030	-9.500
2.975	9.930	-5.210	-1.710	-8.280
3.000	10.210	-6.240	-1.540	-7.930
3.025	10.210	-6.240	-1.540	-7.930
