Time	a	ax	ay	az
t in s	a/m/s²	ax/m/s²	ay/m/s²	az/m/s²
0.000	9.860	2.250	-2.760	-9.190
0.025	9.860	2.250	-2.760	-9.190
0.050	9.860	2.250	-2.760	-9.190
0.075	9.860	2.250	-2.760	-9.190
0.100	9.860	2.250	-2.760	-9.190
0.125	9.790	2.130	-2.830	-9.130
0.150	9.940	2.100	-2.820	-9.300
0.175	10.090	2.180	-2.770	-9.450
0.200	9.660	2.440	-2.750	-8.940
0.225	9.900	1.950	-1.920	-9.520
0.250	10.270	1.970	-1.490	-9.970
0.275	10.050	1.830	-1.690	-9.740
0.300	9.810	1.890	-2.870	-9.190
0.325	10.860	1.100	-2.850	-10.420
0.350	9.820	1.930	-2.820	-9.200
0.375	9.900	2.890	-2.600	-9.110
0.400	9.900	2.890	-2.600	-9.110
0.425	9.770	2.210	-2.230	-9.260
0.450	10.110	3.400	-1.920	-9.330
0.475	9.740	4.290	-1.310	-8.650
0.500	10.000	4.490	-1.450	-8.820
0.525	10.970	3.410	-1.460	-10.330
0.550	9.190	3.600	-0.600	-8.430
0.575	9.270	1.810	-0.240	-9.080
0.600	8.900	0.960	-0.340	-8.840
0.625	9.380	-1.660	-1.330	-9.130
0.650	9.380	-1.660	-1.330	-9.130
0.675	9.380	-1.660	-1.330	-9.130
0.700	7.480	-0.310	-2.370	-7.090
0.725	10.200	-1.190	0.100	-10.130
0.750	10.200	-1.190	0.100	-10.130
0.775	6.780	0.550	-2.110	-6.420
0.800	8.120	-0.370	-1.970	-7.870
0.825	8.960	-0.310	-1.530	-8.830
0.850	8.260	-0.480	-1.300	-8.140
0.875	8.260	-0.480	-1.300	-8.140
0.900	8.260	-0.480	-1.300	-8.140
0.925	17.840	-2.770	0.110	-17.620
0.950	11.290	-0.580	-1.800	-11.130
0.975	10.970	0.580	-0.580	-10.940
1.000	10.970	0.580	-0.580	-10.940
1.025	10.970	0.580	-0.580	-10.940
1.050	10.760	-2.850	-2.960	-9.940
1.075	3.390	2.630	-2.130	-0.280
1.100	27.520	-13.310	-15.820	-18.160
1.125	27.520	-13.310	-15.820	-18.160
1.150	27.520	-13.310	-15.820	-18.160
1.175	8.980	5.300	2.700	-6.730
1.200	4.190	-1.700	-3.670	-1.120
1.225	34.490	-3.140	0.450	-34.340
1.250	34.490	-3.140	0.450	-34.340
1.275	34.490	-3.140	0.450	-34.340
1.300	10.170	-0.710	-3.310	-9.590
1.325	8.270	4.440	1.600	-6.790
1.350	6.110	4.690	-3.720	1.230
1.375	6.110	4.690	-3.720	1.230
1.400	6.110	4.690	-3.720	1.230
1.425	13.370	1.370	-2.750	-13.010
1.450	9.070	4.040	-0.990	-8.060
1.475	9.070	4.190	-1.580	-7.890
1.500	9.070	4.190	-1.580	-7.890
1.525	9.070	4.190	-1.580	-7.890
1.550	12.840	3.180	-1.430	-12.360
1.575	8.690	2.390	-0.980	-8.300
1.600	8.980	3.580	-0.700	-8.200
1.625	8.980	3.580	-0.700	-8.200
1.650	8.980	3.580	-0.700	-8.200
1.675	10.610	1.590	-0.890	-10.450
1.700	10.040	1.290	-0.820	-9.920
1.725	8.830	1.990	-1.500	-8.470
1.750	9.400	3.920	-0.990	-8.480
1.775	9.230	2.410	-1.200	-8.830
1.800	9.930	2.740	-0.930	-9.500
1.825	9.500	2.780	-0.810	-9.050
1.850	9.500	2.780	-0.810	-9.050
1.875	9.500	2.780	-0.810	-9.050
1.900	9.500	2.780	-0.810	-9.050
1.925	9.330	1.790	-1.040	-9.100
1.950	10.380	2.100	-0.820	-10.130
1.975	9.390	3.160	-0.970	-8.790
2.000	9.370	2.530	-1.090	-8.960
2.025	9.610	2.520	-0.990	-9.220
2.050	9.740	2.760	-0.680	-9.320
2.075	7.530	2.220	-1.060	-7.120
2.100	7.530	2.220	-1.060	-7.120
2.125	7.530	2.220	-1.060	-7.120
2.150	7.530	2.220	-1.060	-7.120
2.175	10.880	-1.160	-5.860	-9.090
2.200	13.120	3.210	-1.460	-12.640
2.225	8.540	4.360	-0.760	-7.300
2.250	12.830	6.070	-0.400	-11.300
2.275	9.450	1.180	-3.370	-8.750
2.300	9.980	3.950	-0.930	-9.120
2.325	9.640	3.910	-0.310	-8.810
2.350	9.640	3.910	-0.310	-8.810
2.375	9.640	3.910	-0.310	-8.810
2.400	9.640	3.910	-0.310	-8.810
2.425	10.420	3.400	-1.300	-9.760
2.450	9.390	0.840	-4.050	-8.430
2.475	10.130	3.490	-1.190	-9.440
2.500	8.810	2.040	-1.720	-8.390
2.525	10.820	2.610	-1.510	-10.390
2.550	11.450	1.030	-2.420	-11.150
2.575	9.520	6.500	-1.340	-6.830
2.600	9.520	6.500	-1.340	-6.830
2.625	9.520	6.500	-1.340	-6.830
2.650	13.050	2.910	-0.320	-12.720
2.675	12.450	3.620	-0.260	-11.910
2.700	11.280	3.070	-1.370	-10.760
2.725	8.760	2.320	-2.170	-8.170
2.750	9.280	2.620	-2.290	-8.600
2.775	9.160	3.940	-2.380	-7.920
2.800	11.000	2.700	-1.650	-10.540
2.825	11.000	2.700	-1.650	-10.540
2.850	11.000	2.700	-1.650	-10.540
2.875	11.000	2.700	-1.650	-10.540
2.900	9.530	2.480	-0.530	-9.180
2.925	9.530	2.480	-0.530	-9.180
2.950	10.380	1.980	-4.120	-9.320
2.975	10.880	2.640	-2.730	-10.190
3.000	8.570	2.070	-0.950	-8.260
3.025	9.830	3.100	-0.530	-9.320
3.050	8.780	2.470	-0.680	-8.400
3.075	8.780	2.470	-0.680	-8.400
3.100	10.040	1.570	-0.760	-9.890
3.125	8.400	1.460	-1.150	-8.200
3.150	14.280	4.100	0.430	-13.680
3.175	14.280	4.100	0.430	-13.680
3.200	14.280	4.100	0.430	-13.680
3.225	9.350	-0.540	-2.700	-8.940
3.250	10.580	1.810	-1.070	-10.370
3.275	10.990	2.550	-1.400	-10.600
3.300	10.990	2.550	-1.400	-10.600
3.325	10.990	2.550	-1.400	-10.600
3.350	29.040	3.600	-13.370	-25.530
3.375	3.630	2.250	-1.880	-2.150
3.400	9.010	5.210	-5.990	4.260
3.425	9.010	5.210	-5.990	4.260
3.450	6.870	-2.110	-2.640	-5.990
3.475	3.920	1.040	-1.950	-3.240
3.500	19.730	6.400	0.430	-18.650
3.525	10.410	3.680	-0.230	-9.740
3.550	10.410	3.680	-0.230	-9.740
3.575	10.410	3.680	-0.230	-9.740
3.600	5.280	-1.240	-3.960	-3.260
3.625	13.650	5.260	-0.710	-12.580
3.650	5.940	2.680	-1.860	-4.960
3.675	5.940	2.680	-1.860	-4.960
3.700	5.940	2.680	-1.860	-4.960
3.725	8.130	-4.480	-2.760	-6.200
3.750	8.930	-0.340	-1.040	-8.860
3.775	12.220	0.140	-4.720	-11.270
3.800	12.220	0.140	-4.720	-11.270
3.825	12.220	0.140	-4.720	-11.270
3.850	9.380	-0.080	-2.390	-9.070
3.875	5.630	1.230	-4.060	-3.710
3.900	3.200	-1.470	-0.280	-2.830
3.925	3.200	-1.470	-0.280	-2.830
3.950	3.200	-1.470	-0.280	-2.830
3.975	8.760	0.170	-2.170	-8.480
4.000	3.840	-1.680	-2.520	-2.370
4.025	7.340	6.880	-1.900	1.720
4.050	7.340	6.880	-1.900	1.720
4.075	7.340	6.880	-1.900	1.720
4.100	12.180	0.280	-1.910	-12.030
4.125	10.150	5.390	-6.510	-5.620
4.150	10.150	5.390	-6.510	-5.620
4.175	10.150	5.390	-6.510	-5.620
4.200	31.230	-4.100	-8.880	29.660
4.225	72.120	-51.200	-24.370	44.570
4.250	45.560	-44.690	-3.700	-8.020
4.275	45.560	-44.690	-3.700	-8.020
4.300	45.560	-44.690	-3.700	-8.020
4.325	45.510	8.100	-2.690	-44.700
4.350	2.580	-0.910	2.080	-1.220
4.375	22.680	22.520	1.870	1.950
4.400	22.680	22.520	1.870	1.950
4.425	22.680	22.520	1.870	1.950
4.450	0.640	-0.620	-0.010	-0.160
4.475	0.340	-0.260	0.210	-0.050
4.500	40.900	-12.340	-1.560	-38.960
4.525	40.900	-12.340	-1.560	-38.960
4.550	40.900	-12.340	-1.560	-38.960
4.575	40.900	-12.340	-1.560	-38.960
4.600	5.000	4.430	-2.180	-0.810
4.625	41.860	-0.650	-0.090	-41.860
4.650	41.860	-0.650	-0.090	-41.860
4.675	41.860	-0.650	-0.090	-41.860
4.700	54.290	-19.640	2.420	50.550
4.725	22.680	-1.930	-6.430	21.660
4.750	22.680	-1.930	-6.430	21.660
4.775	22.680	-1.930	-6.430	21.660
4.800	0.580	-0.410	0.370	0.170
4.825	1.680	1.280	-1.020	0.360
4.850	1.200	-0.790	0.310	0.850
4.875	1.200	-0.790	0.310	0.850
4.900	1.200	-0.790	0.310	0.850
4.925	16.050	11.710	-9.630	-5.270
4.950	15.960	9.330	-2.690	12.670
4.975	14.060	7.560	-9.230	7.440
5.000	2.380	-1.060	-0.880	1.940
5.025	4.110	1.420	-3.060	2.360
5.050	4.380	-3.220	-1.040	2.780
5.075	8.430	-3.380	-2.500	7.300
5.100	4.540	-0.160	-4.190	1.730
5.125	4.540	-0.160	-4.190	1.730
5.150	4.540	-0.160	-4.190	1.730
5.175	4.540	-0.160	-4.190	1.730
5.200	2.950	-0.350	-0.140	-2.930
5.225	1.170	-0.980	0.440	0.460
5.250	1.150	0.130	1.060	0.430
5.275	1.490	0.260	1.460	0.140
5.300	47.290	-21.060	-11.940	40.630
5.325	2.940	-1.250	-0.400	2.630
5.350	2.940	-1.250	-0.400	2.630
5.375	2.940	-1.250	-0.400	2.630
5.400	2.940	-1.250	-0.400	2.630
5.425	23.090	1.390	-10.890	20.310
5.450	2.910	-1.330	-1.500	-2.100
5.475	2.910	-1.330	-1.500	-2.100
5.500	1.920	-0.370	-1.390	-1.260
5.525	55.310	-2.220	-22.260	50.590
5.550	46.680	-1.050	-19.050	42.600
5.575	46.680	-1.050	-19.050	42.600
5.600	46.680	-1.050	-19.050	42.600
5.625	13.350	1.050	-3.540	12.830
5.650	34.270	3.250	-10.050	32.600
5.675	45.720	0.580	-11.430	44.260
5.700	45.720	0.580	-11.430	44.260
5.725	45.720	0.580	-11.430	44.260
5.750	57.710	0.430	-17.100	55.110
5.775	1.890	-0.490	1.340	1.240
5.800	1.320	-0.360	1.180	0.490
5.825	1.320	-0.360	1.180	0.490
5.850	1.320	-0.360	1.180	0.490
5.875	12.180	-5.820	-4.550	9.680
5.900	1.890	-0.590	-0.710	1.650
5.925	4.290	0.970	1.650	3.840
5.950	4.290	0.970	1.650	3.840
5.975	4.290	0.970	1.650	3.840
6.000	4.940	0.890	2.510	4.150
6.025	4.930	0.150	2.100	4.460
6.050	5.030	0.320	2.150	4.530
6.075	5.030	0.320	2.150	4.530
6.100	5.030	0.320	2.150	4.530
6.125	16.290	4.470	5.120	14.810
6.150	17.590	2.210	7.020	15.970
6.175	23.830	21.870	9.170	-2.330
6.200	23.830	21.870	9.170	-2.330
6.225	23.830	21.870	9.170	-2.330
6.250	17.240	2.310	9.910	13.920
6.275	8.110	1.240	3.430	7.240
6.300	16.300	2.640	2.600	15.870
6.325	16.300	2.640	2.600	15.870
6.350	16.300	2.640	2.600	15.870
6.375	10.540	-0.900	2.470	10.210
6.400	11.130	-0.090	2.790	10.770
6.425	12.170	1.480	1.920	11.920
6.450	12.170	1.480	1.920	11.920
6.475	12.170	1.480	1.920	11.920
6.500	10.050	0.770	1.610	9.900
6.525	9.480	0.750	1.500	9.330
6.550	9.480	0.750	1.500	9.330
6.575	9.480	0.750	1.500	9.330
6.600	8.940	1.000	-3.850	8.010
6.625	9.400	0.870	-3.900	8.510
6.650	10.410	0.780	-3.450	9.790
6.675	10.410	0.780	-3.450	9.790
6.700	9.820	0.880	-3.550	9.110
6.725	10.070	0.720	-3.410	9.450
6.750	9.920	0.930	-3.480	9.240
6.775	9.990	0.790	-3.430	9.350
6.800	9.990	0.790	-3.430	9.350
6.825	9.990	0.790	-3.430	9.350
6.850	9.920	0.880	-3.470	9.250
6.875	13.960	0.420	-4.710	13.130
6.900	11.010	-0.080	-3.720	10.360
6.925	11.010	-0.080	-3.720	10.360
6.950	11.010	-0.080	-3.720	10.360
6.975	7.680	1.580	-2.870	6.950
7.000	12.070	2.550	-3.130	11.380
7.025	9.830	-0.030	-3.030	9.360
7.050	9.830	-0.030	-3.030	9.360
7.075	9.830	-0.030	-3.030	9.360
7.100	9.830	-0.030	-3.030	9.360
7.125	9.590	0.440	-3.920	8.740
7.150	8.990	1.290	-4.140	7.870
7.175	8.990	1.290	-4.140	7.870
7.200	6.730	0.070	-2.080	6.400
7.225	10.360	-0.470	-3.390	9.780
7.250	8.700	0.070	-3.140	8.110
7.275	22.950	20.580	-2.120	9.930
7.300	22.950	20.580	-2.120	9.930
7.325	22.950	20.580	-2.120	9.930
7.350	11.400	2.010	-2.880	10.840
7.375	12.130	2.680	-2.610	11.540
7.400	10.710	2.690	-2.380	10.090
7.425	10.710	2.690	-2.380	10.090
7.450	10.710	2.690	-2.380	10.090
7.475	10.960	4.640	-2.720	9.540
7.500	12.270	4.580	-3.860	10.710
7.525	12.270	4.580	-3.860	10.710
7.550	12.270	4.580	-3.860	10.710
7.575	11.660	7.710	-5.800	6.550
7.600	11.140	8.560	-4.930	5.140
7.625	11.400	9.030	-5.080	4.740
7.650	11.400	9.030	-5.080	4.740
7.675	11.520	9.470	-5.010	4.230
7.700	9.930	4.310	-8.860	-1.250
7.725	10.260	3.580	-9.310	-2.400
7.750	10.170	2.740	-9.380	-2.800
7.775	10.170	2.740	-9.380	-2.800
7.800	10.170	2.740	-9.380	-2.800
7.825	10.900	5.320	-9.430	-1.270
7.850	11.350	5.230	-9.910	-1.810
7.875	11.570	5.220	-10.110	-2.090
7.900	11.570	5.220	-10.110	-2.090
7.925	11.500	4.730	-9.720	-3.920
7.950	9.580	2.630	-8.150	-4.290
7.975	9.570	3.270	-7.450	-5.030
8.000	9.200	2.280	-7.510	-4.790
8.025	9.200	2.280	-7.510	-4.790
8.050	9.200	2.280	-7.510	-4.790
8.075	7.950	0.500	-5.460	-5.750
8.100	8.150	0.720	-5.370	-6.080
8.125	8.260	1.390	-5.690	-5.830
8.150	8.260	1.390	-5.690	-5.830
8.175	8.260	1.390	-5.690	-5.830
8.200	8.360	1.400	-5.110	-6.460
8.225	9.470	2.480	-6.250	-6.670
8.250	8.820	1.810	-5.460	-6.680
8.275	8.820	1.810	-5.460	-6.680
8.300	8.820	1.810	-5.460	-6.680
8.325	8.820	1.810	-5.460	-6.680
8.350	8.770	0.270	-5.010	-7.200
8.375	8.270	-0.520	-4.650	-6.810
8.400	9.760	-1.120	-4.550	-8.560
8.425	10.560	-2.080	-5.970	-8.470
8.450	12.810	-2.090	-9.090	-8.780
8.475	9.760	-0.300	-4.200	-8.800
8.500	9.760	-0.300	-4.200	-8.800
8.525	9.760	-0.300	-4.200	-8.800
8.550	9.230	0.520	-4.290	-8.150
8.575	9.760	0.360	-2.550	-9.420
8.600	9.980	0.830	-3.640	-9.250
8.625	9.980	0.830	-3.640	-9.250
8.650	9.980	0.830	-3.640	-9.250
8.675	10.850	0.650	-4.270	-9.950
8.700	10.320	-0.510	-3.720	-9.610
