t in s;curvature (1/m);torsion (m2);t_vector_x;t_vector_y;t_vector_z;n_vector_x;n_vector_y;n_vector_z;b_vector_x;b_vector_y;b_vector_z;tangent acc (m/s2)
0.0;;;;;;;;;;;;
0.025;0.0;;-0.12995679589210477;0.2124690472521713;-0.9684875503387808;;;;;9.695529897844677;;
0.05;0.0;;-0.12995679589210477;0.2124690472521713;-0.9684875503387808;;;;;9.695529897844677;;
0.075;0.12454114489142434;9.838481522197752e-14;-0.12909539681023782;0.21148204524187153;-0.9688187255945884;0.637573668196487;-0.7305829525566951;-0.24443479100982637;-0.04052048717945375;9.541504550336558;0.0655050830604833;1.6653345369377348e-16
0.1;0.05306708299237693;0.0;-0.12801186134179696;0.21024035180856415;-0.9692326644450339;0.6377921034403964;-0.7309412428489411;-0.24278824578533453;-0.04052048717945368;9.541602080820622;0.04929230446571209;-1.6653345369377348e-16
0.125;0.15265047505167678;-2.2998364665050297;-0.12544105603373434;0.20865340255073597;-0.9699114903253503;0.8636032898509536;-0.4582314591208937;-0.21026955944821568;-0.12271272674140704;9.73636539782524;0.22156001451375995;0.0
0.15;0.08788816718639512;0.0;-0.12213700224355625;0.20689921864155786;-0.9707086411526739;0.8640767636403643;-0.4590261712033155;-0.2065582743131303;-0.12271272674140708;9.737141608827944;0.18431844625963256;2.220446049250313e-16
0.175;0.17688335191083243;-5.260787586952348;-0.12217097839369362;0.20992135465228373;-0.9700552957946664;-0.32260728008992295;0.9159056964894544;0.23883320114914808;-0.044174937799308686;9.79427301889315;0.5065728292967111;-1.1102230246251565e-16
0.2;0.1837043479609912;-1.3841106859071295;-0.12526303386228085;0.2172943322628975;-0.9680353017912304;-0.4123725879226386;0.8760401702420086;0.25000493765591575;-0.020129223373570274;10.09572073001846;0.6920425864609228;-1.942890293094024e-16
0.225;0.12891748834914352;5.3026280198912685;-0.12753313632670477;0.22455185944464964;-0.9660806185606998;-0.14544945376613558;0.9592696765472716;0.24216965965212467;-0.08967772513478284;9.957710285402504;0.6191977648451026;-1.1102230246251565e-16
0.25;0.089558416783162;-1.3923849538597501;-0.12865280119555347;0.23046879195063322;-0.96453750195695;-0.22011440290119424;0.9417229073012948;0.2543769162079131;-0.07042578944675892;9.969242057687433;0.5334911388542811;-1.1102230246251565e-16
0.275;0.06689736922944117;0.0;-0.12974259183735223;0.23513521300035903;-0.9632643933368461;-0.21947381047254383;0.9405686204666107;0.2591561627864535;-0.07042578944675891;9.9717646738066;0.4840550487524924;-2.220446049250313e-16
0.3;0.02495318060268311;22.697481702825392;-0.12936450378672595;0.23677108522017867;-0.9629144709493533;0.8885653169150097;-0.4033432935241656;-0.21855403255215167;-0.1582082693525214;9.827397513711215;0.21530932980862083;0.0
0.325;0.03393728493438604;6.339132091596977;-0.1284191558497406;0.2350683568828483;-0.9634580364516339;0.11690305806595919;-0.9611405759671477;-0.25008492206521876;0.09594865164448935;9.657006561653256;0.34340103113698683;1.1102230246251565e-16
0.35;0.0772689247565867;-0.07302606541033035;-0.1278085954403308;0.23053804429254177;-0.9646331805745332;0.13427542827575487;-0.9596327530121002;-0.2471337465984364;0.0916937196697784;9.399174988193273;0.9033324644459284;1.1102230246251565e-16
