t in s	a/m/s²	ax/m/s²	ay/m/s²	az/m/s²
0.0	9.25	0.92	-8.03	-4.5
0.5263157894736841	9.931052631578947	0.7505263157894737	-7.471578947368421	-6.321052631578947
1.5526315789473673	10.74222222222222	0.5883333333333334	-7.924999999999999	-7.092777777777778
2.5263157894736836	10.584117647058823	0.9023529411764708	-7.644117647058825	-7.135294117647057
3.500000000000003	11.05777777777778	0.8255555555555555	-7.97111111111111	-7.523888888888889
4.526315789473686	10.583157894736841	0.9057894736842108	-7.443157894736843	-7.373684210526317
5.5526315789473655	10.764999999999999	0.5294444444444444	-7.985000000000001	-7.057777777777778
6.552631578947359	10.870555555555553	0.8233333333333331	-7.889999999999999	-7.322777777777777
7.552631578947354	10.472777777777775	1.003333333333333	-7.4433333333333325	-7.110555555555556
8.552631578947349	10.507222222222222	0.3833333333333334	-7.746111111111111	-6.944444444444445
9.552631578947345	10.438333333333334	0.6177777777777778	-7.742222222222223	-6.866111111111112
10.55263157894734	10.581666666666669	0.42277777777777775	-7.772777777777778	-7.049444444444446
11.552631578947334	10.562777777777777	0.021111111111111105	-7.934444444444444	-6.8983333333333325
12.552631578947329	10.32388888888889	0.4088888888888889	-7.58	-6.897777777777779
13.552631578947326	11.085555555555555	-0.1005555555555556	-8.49388888888889	-6.881666666666667
14.552631578947317	10.633333333333333	0.7400000000000001	-8.244444444444445	-6.583333333333333
15.552631578947306	10.66111111111111	0.8811111111111108	-8.09888888888889	-6.767222222222222
16.552631578947324	10.40333333333333	0.7788888888888891	-7.918333333333332	-6.520555555555555
17.552631578947356	10.030555555555557	1.4566666666666663	-6.753333333333334	-7.120555555555555
18.526315789473696	10.638235294117646	0.31647058823529406	-8.104117647058825	-6.788235294117647
19.50000000000004	10.543333333333337	0.6172222222222222	-8.080000000000002	-6.676666666666666
20.500000000000068	10.612777777777776	0.8333333333333335	-7.599444444444444	-7.261666666666667
21.500000000000092	10.431666666666665	1.0383333333333333	-7.401111111111111	-7.168333333333333
22.500000000000124	11.34111111111111	0.9466666666666667	-7.857777777777778	-7.897777777777778
23.500000000000153	11.040555555555553	0.9549999999999998	-7.752777777777778	-7.607222222222221
24.50000000000018	10.54	0.7516666666666665	-8.09888888888889	-6.504444444444445
25.500000000000206	10.77388888888889	0.4861111111111111	-8.132222222222223	-6.874444444444445
26.500000000000238	10.466111111111111	0.47222222222222243	-7.820555555555556	-6.691111111111112
27.500000000000263	11.26	-0.16111111111111118	-8.538333333333334	-6.805555555555555
28.50000000000029	10.487777777777776	1.1555555555555557	-7.134444444444444	-7.276666666666666
29.500000000000327	10.495555555555555	0.515	-7.4094444444444445	-7.246666666666668
30.500000000000355	10.53722222222222	0.6772222222222223	-7.279444444444445	-7.233888888888889
31.50000000000038	10.421666666666667	0.8477777777777779	-7.319999999999999	-7.20388888888889
32.5000000000004	10.442222222222222	0.6744444444444445	-7.443888888888888	-7.102222222222221
33.50000000000043	10.700555555555557	0.4555555555555557	-7.473333333333333	-7.434999999999999
34.500000000000476	11.321666666666665	0.5633333333333334	-8.208888888888888	-7.309999999999999
35.50000000000048	10.702777777777778	0.25999999999999995	-7.885555555555555	-6.906666666666667
36.50000000000051	10.615555555555552	0.6716666666666666	-7.670555555555556	-7.155555555555556
37.50000000000054	10.85388888888889	0.49611111111111117	-7.687222222222224	-7.427777777777779
38.50000000000057	10.478888888888887	0.6888888888888888	-7.203333333333335	-7.150000000000001
39.5000000000006	10.264444444444443	0.5594444444444445	-7.263333333333334	-6.937777777777777
40.50000000000064	10.866666666666667	0.8433333333333333	-7.437222222222222	-7.603333333333334
41.500000000000654	10.46111111111111	0.6822222222222221	-7.649444444444445	-6.801666666666668
42.50000000000068	10.983333333333334	0.2922222222222222	-7.591666666666667	-7.604444444444444
43.50000000000071	10.666666666666664	0.3405555555555556	-7.625000000000002	-7.270555555555556
44.500000000000746	10.816666666666665	0.6094444444444442	-7.679999999999999	-7.400000000000001
45.50000000000077	10.31777777777778	0.6877777777777779	-7.191666666666666	-7.038888888888889
46.500000000000796	11.06722222222222	1.0066666666666668	-7.703333333333331	-7.502777777777778
47.50000000000083	10.71388888888889	0.5938888888888889	-7.766666666666666	-7.132777777777779
